what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1414142822944
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1414142822944
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1414142822945
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1414142822945
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1414142822946
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1414142822946
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1414142822947
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1414142822947
started,bundle,com.altera.sbtgui.integration,14.0.0.209,"com.altera.sbtgui.integration",1414142822947
started,bundle,com.altera.sbtgui.launch,14.0.0.209,"com.altera.sbtgui.launch",1414142822947
started,bundle,com.altera.sbtgui.project,14.0.0.209,"com.altera.sbtgui.project",1414142822948
started,bundle,com.altera.sbtgui.ui,14.0.0.209,"com.altera.sbtgui.ui",1414142822948
started,bundle,com.altera.systemconsole,14.0.0.209,"com.altera.systemconsole",1414142822948
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.209,"com.altera.systemconsole.designs.plugin",1414142822949
started,bundle,com.altera.utilities,14.0.0.209,"com.altera.utilities",1414142822949
os,sysinfo,,,"win32",1414142822951
arch,sysinfo,,,"x86_64",1414142822951
ws,sysinfo,,,"win32",1414142822951
locale,sysinfo,,,"zh_TW",1414142822951
processors,sysinfo,,,"8",1414142822951
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1414142822951
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1414142822951
java.specification.name,sysinfo,,,"Java Platform API Specification",1414142822951
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1414142822951
java.specification.version,sysinfo,,,"1.6",1414142822951
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1414142822951
java.version,sysinfo,,,"1.6.0_23",1414142822951
java.vm.info,sysinfo,,,"mixed mode",1414142822951
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1414142822951
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1414142822951
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1414142822951
java.vm.specification.version,sysinfo,,,"1.0",1414142822951
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1414142822951
java.vm.version,sysinfo,,,"19.0-b09",1414142822951
started,bundle,com.altera.sbtgui.core,14.0.0.209,"com.altera.sbtgui.core",1414142825571
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414142825662
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1414142825753
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1414142825756
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1414142825757
